City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Culebra,PR,82.49,broken clouds,18.303,-65.301,Palmetto Guesthouse
598,Samarai,PG,82.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
601,Grand Gaube,MU,73.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
603,Caxambu,BR,78.42,few clouds,-21.9772,-44.9325,Hotel Lopes
604,Quila,MX,85.86,clear sky,24.4228,-107.22,Madereria Mercado
609,Alofi,NU,77.9,moderate rain,-19.0595,-169.9187,Taloa Heights
611,Oriximina,BR,86.04,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
614,Ndjole,GA,75.83,overcast clouds,-0.1783,10.7649,Motel Kédyann
615,Meybod,IR,82.42,overcast clouds,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
616,Kawalu,ID,73.51,overcast clouds,-7.3817,108.2082,West Jontor
624,Chapadinha,BR,83.48,broken clouds,-3.7417,-43.3603,Chapadinhense Hotel
627,Kattivakkam,IN,86.09,clear sky,13.2167,80.3167,Euronova Freezer
628,Nchelenge,ZM,71.26,moderate rain,-9.3451,28.734,KD Travellers Home
630,Poquoson,US,89.64,clear sky,37.1224,-76.3458,Whitehouse Cove
633,Muscat,OM,86.02,clear sky,23.6139,58.5922,Mutrah Hotel
634,Moron,AR,78.03,clear sky,-34.6534,-58.6198,Hotel Morón
636,Santa Maria,BR,78.26,clear sky,-29.6842,-53.8069,Hotel Morotin
638,Brownwood,US,80.6,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
639,Monrovia,LR,83.97,light rain,6.3005,-10.7969,Sunset Inn
640,Sombrerete,MX,79.97,clear sky,23.6333,-103.65,Hotel Conde del Jaral
641,Lengshuitan,CN,74.21,overcast clouds,26.4111,111.5956,Jialong Hotel
645,Tura,IN,74.05,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
646,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
647,Wewak,PG,79.52,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
649,Amargosa,BR,80.31,clear sky,-13.0303,-39.6047,Hotel Amargosa
650,Sambava,MG,76.93,overcast clouds,-14.2667,50.1667,Melrose
653,Myanaung,MM,86.23,clear sky,18.2833,95.3167,Taung Hlay Khar
654,Iralaya,HN,83.1,clear sky,15.0,-83.2333,Iglesia morava renovada
655,Anito,PH,78.96,heavy intensity rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
659,Maler Kotla,IN,82.78,clear sky,30.5167,75.8833,Vijay Niwas
661,Juazeiro,BR,89.78,scattered clouds,-9.4117,-40.4986,JB Hotel
662,Luangwa,ZM,72.25,few clouds,-15.6167,30.4167,Gerasimos Safari Lodge
663,Roswell,US,83.43,scattered clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
666,Shelburne,CA,74.19,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
667,Palu,ID,76.51,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
671,Pringsewu,ID,73.6,overcast clouds,-5.3582,104.9744,Urban Style by Front One
672,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
673,Kahuta,PK,77.85,overcast clouds,33.5913,73.3868,Marhaba Sweets & Bakers
675,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
681,Sola,VU,80.78,overcast clouds,-13.8833,167.55,Leumerus Bungalows
682,Gudalur,IN,75.61,few clouds,9.6833,77.2667,Hotel Lemurian Heritage
684,Nieuw Nickerie,SR,81.93,scattered clouds,5.95,-56.9833,Ishwardat Inn
687,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
688,Giyani,ZA,73.94,clear sky,-23.3025,30.7187,Kulani Country Lodge
690,Pokhara,NP,71.58,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
691,Veraval,IN,81.82,clear sky,20.9,70.3667,Lords Inn Somnath
694,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
696,Bandarbeyla,SO,81.81,clear sky,9.4942,50.8122,JABIR HOTEL
697,Najran,SA,79.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
699,Moerai,PF,78.08,scattered clouds,-22.4333,-151.3333,Le Manotel
