City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,Nyaunglebin,17.95,96.7333,84.38,67,5,5.99,MM,2022-04-23 01:13:29
263,Hami,42.8,93.45,67.1,16,2,9.33,CN,2022-04-23 01:13:29
264,Tuktoyaktuk,69.4541,-133.0374,21.13,85,7,16.24,CA,2022-04-23 01:13:30
265,Karlskoga,59.3267,14.5239,40.39,67,31,7.85,SE,2022-04-23 01:13:31
266,Ostrovnoy,68.0531,39.5131,28.44,92,100,10.2,RU,2022-04-23 01:13:31
267,Novi Pazar,43.1367,20.5122,49.55,89,100,1.48,RS,2022-04-23 01:13:32
268,Kibaya,-5.3,36.5667,58.28,98,14,3.18,TZ,2022-04-23 01:13:33
269,Kalmunai,7.4167,81.8167,78.22,84,100,4.9,LK,2022-04-23 01:13:34
270,Moerai,-22.4333,-151.3333,76.86,67,99,22.46,PF,2022-04-23 01:13:34
271,Mumford,5.2618,-0.759,80.29,83,5,6.11,GH,2022-04-23 01:13:35
272,Pietarsaari,63.65,22.6833,36.0,93,40,7.27,FI,2022-04-23 01:13:36
273,Hoi An,15.8794,108.335,82.36,90,100,5.06,VN,2022-04-23 01:13:36
274,Viedma,-40.8135,-62.9967,49.53,59,44,10.56,AR,2022-04-23 01:13:37
275,Mackenzie,55.2999,-123.1698,46.96,63,100,5.06,CA,2022-04-23 01:14:38
276,Upington,-28.4478,21.2561,66.79,46,7,3.2,ZA,2022-04-23 01:14:38
277,Maningrida,-12.0667,134.2667,88.34,50,86,8.84,AU,2022-04-23 01:14:39
278,Halifax,44.6453,-63.5724,44.69,92,100,3.0,CA,2022-04-23 01:11:38
279,Tombouctou,20.0,-3.0,75.31,10,2,9.91,ML,2022-04-23 01:14:39
280,Margate,51.3813,1.3862,53.31,80,91,5.01,GB,2022-04-23 01:14:40
281,Nome,64.5011,-165.4064,40.1,65,0,0.0,US,2022-04-23 01:09:58
282,Ilmatsalu,58.3881,26.5593,42.94,58,98,1.14,EE,2022-04-23 01:14:41
283,Krutikha,53.9599,81.2093,29.12,45,6,8.1,RU,2022-04-23 01:14:41
284,Tiksi,71.6872,128.8694,14.49,91,100,8.79,RU,2022-04-23 01:14:42
285,Esperance,-33.8667,121.9,64.35,69,7,10.78,AU,2022-04-23 01:12:54
286,Raudeberg,61.9875,5.1352,48.87,81,100,12.15,NO,2022-04-23 01:14:42
